"","Category","RGS","AC","PValue"
"87","Stress response: pathogen",56,192,4.99568634180666e-24
"19","Extracellular material: collagen",47,184,1.58839313759161e-18
"74","Signaling: phosphatase",44,196,1.04478787303755e-15
"9","Cytoskeleton: microtubule",35,128,5.5192750911344e-15
"124","Unassigned",445,6343,3.21125994565132e-14
"70","Signaling: hedgehog-like",22,89,2.59782505291975e-09
"82","Stress response: detoxification",33,206,6.68966299806052e-09
"63","Proteolysis proteasome: E3",59,590,1.73758817766593e-07
"106","Transmembrane transport: ABC",14,50,5.36681928573673e-07
"59","Proteolysis general: metallopeptidase",20,123,4.51553760034139e-06
"57","Proteolysis general: inhibitor",13,66,3.56738655939446e-05
"84","Stress response: heat",9,30,3.59025776782404e-05
"80","Signaling: Y kinase",13,73,8.85010619160339e-05
"90","Stress response: unassigned",10,49,0.000214784177649847
"31","Metabolism: FMO",4,5,0.000376078166422572
"6","Cytoskeleton: cadherin",5,11,0.000451813536119793
"105","Transmembrane protein: unassigned",109,1692,0.000592881405725581
"85","Stress response: heavy metal",5,16,0.00175462016923995
"114","Transmembrane transport: lipid",5,16,0.00175462016923995
"81","Stress response: C-type Lectin",23,256,0.00283386898403025
"56","Proteolysis general: cysteine",7,41,0.00449652055881427
"73","Signaling: MAPK",6,32,0.00560610064997932
"97","Transcription factor: NHR",22,259,0.0062565715548042
"15","Development: somatic",12,122,0.0142925638644107
"24","Extracellular material: PGI",7,53,0.0150399414172346
"38","Metabolism: short chain dehydrogenase",6,42,0.0172597638503639
"58","Proteolysis general: lysozyme",3,11,0.0207890975501056
"119","Transmembrane transport: sodium channel",5,32,0.0211619407767199
"54","Proteolysis general: aspartate",5,33,0.0235188862504685
"23","Extracellular material: mucin",2,4,0.0251497364865582
"20","Extracellular material: cuticlin",5,35,0.0287240112527258
"83","Stress response: ER",4,24,0.0316584488649401
"94","Transcription factor: bZIP",4,24,0.0316584488649401
"25","Extracellular material: secreted protein",6,54,0.0455719978791244
"55","Proteolysis general: carboxypeptidase",3,16,0.0471315920759658
"86","Stress response: oxidative",4,28,0.0485512681509105
"109","Transmembrane transport: chloride channel",5,44,0.0606889612591396
"60","Proteolysis general: serine",4,34,0.0814830843410281
"49","Non-coding RNA: small RNA",5,50,0.0899088407798131
"121","Transmembrane transport: sugar",2,10,0.0931765529131801
"22","Extracellular material: matrix",6,67,0.0974416159741059
"18","Extracellular material: chitinase",4,37,0.101175802534217
"14","Development: germline",3,23,0.10136015636058
"8","Cytoskeleton: intermediate filament protein",2,12,0.121427020291079
"7","Cytoskeleton: claudin",2,15,0.166903397105385
"42","Neuronal function: development",2,15,0.166903397105385
"35","Metabolism: lipid",29,526,0.179179383857408
"75","Signaling: S/T kinase",5,66,0.195161562483013
"88","Stress response: signaling",1,4,0.198942462116677
"61","Proteolysis general: unassigned",5,68,0.210559091316149
"116","Transmembrane transport: mitochondrial",3,34,0.215839960865179
"100","Transcription factor: ZF",4,53,0.234362285724345
"50","Nucleic acid: binding",13,229,0.255370167518713
"30","Metabolism: creatine kinase",1,6,0.266950337377269
"69","Signaling: FGF",1,6,0.266950337377269
"41","Muscle function",4,62,0.321704254187581
"43","Neuronal function: synaptic function",13,244,0.326439046856348
"112","Transmembrane transport: heme",1,8,0.329180797857346
"113","Transmembrane transport: ion",1,8,0.329180797857346
"117","Transmembrane transport: nucleotide gated channel",1,8,0.329180797857346
"122","Transmembrane transport: sulfate",1,8,0.329180797857346
"12","Development: apoptosis",4,64,0.341535647492415
"21","Extracellular material: galectin",2,26,0.344495703979948
"71","Signaling: heteromeric G protein",9,170,0.37448385338049
"68","Signaling: FERM",1,10,0.386124962316908
"107","Transmembrane transport: acid sensing",1,10,0.386124962316908
"111","Transmembrane transport: glutamate channel",1,10,0.386124962316908
"115","Transmembrane transport: major facilitator",5,89,0.386968818675266
"120","Transmembrane transport: solute carrier",10,197,0.410341259013142
"4","Cilia: unassigned",1,11,0.412756635899065
