"ID","T_EV_2","T_EV_3","T_EV_4","T_L6_2","T_L6_3","T_L6_4","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foldChange","log10padj"
"WBGene00000013",0,1.12935403148041,1.16287244035185,8.84845661234359,15.7164325958467,19.4452498597367,7.71706092329322,4.35090320224003,1.27551627021955,14.7060542562513,0.00012564229703268,0.00181582248878639,20.4057410957996,2.7409266095091
"WBGene00000016",62.4463440141599,47.4328693221771,43.0262802930184,120.339009927873,111.864020241027,129.929624062786,85.8396913101735,1.23783617413992,0.320655341176536,14.75341085856,0.000122525675627817,0.00178169158071823,2.35844535503243,2.74916747223223
"WBGene00000019",194.685660750028,114.064757179521,131.404585759759,507.901409548522,268.103850164444,296.098122864173,252.043064377741,1.28220710509798,0.375994725353736,11.3239004200723,0.000765158227083351,0.00723571129751818,2.43210768085865,2.14051876967238
"WBGene00000020",247.948718879753,347.841041695965,388.399395077517,942.360629214592,632.355287974069,627.551245473322,531.076053052536,1.16324623324165,0.309489251689484,13.7895394517532,0.00020447153260391,0.00263674102036221,2.23960799174875,2.57893252434042
"WBGene00000023",168.054131685166,50.8209314166183,95.3555401088515,553.028538271474,251.462921533548,265.162498087319,230.647426850496,1.76411241342014,0.503006899131793,11.6780828343148,0.000632406651078136,0.00624430691521801,3.39664963917331,2.20451575898729
"WBGene00000024",186.420703454036,256.363365146052,301.183962051129,2075.84792125581,787.670621862437,629.31899546057,706.134261538338,2.23182363493465,0.47502198926169,20.2406505673611,6.8286364838644e-06,0.000173541917041471,4.69727362239113,3.76059560939698
"WBGene00000031",215.807218284229,216.835974044238,269.786406161629,2365.19245247944,774.727677371739,601.03499566459,740.564120667644,2.41325233901348,0.504441764424723,20.7062930302434,5.3539755185459e-06,0.000141734489728942,5.32673806097445,3.84852445549458
"WBGene00000033",82.6495729599175,123.099589431364,173.267993612425,790.167175482282,289.36725897059,281.956122966183,290.084618903794,1.84678669968407,0.490743131032156,13.3516913889149,0.000258189654758195,0.00315694663726915,3.59698140092555,2.50073275904393
"WBGene00000034",236.010447229987,177.308582942424,252.343319556351,1419.29244061991,501.076850996996,487.898996480667,512.321772971056,1.85506728527938,0.460874782946615,15.246469743541,9.43529512589968e-05,0.00146376361860771,3.61768623013705,2.8345290512988
"WBGene00000039",375.596392673403,214.577265981277,186.059590456296,3240.30481144022,896.761153998314,621.364120517951,922.44388917791,2.6151732309939,0.589797105326844,17.4931116282081,2.88350534197397e-05,0.000564273581498233,6.12696763724543,3.24851028231567
"WBGene00000051",68.8746441332646,39.5273911018143,36.0490456509073,176.084286585637,178.427734764613,176.774998724879,112.623016826853,1.868816096945,0.353837557246802,26.9456070586791,2.0926222484652e-07,8.72929972787794e-06,3.65232740131814,5.0590205943834
"WBGene00000082",112.03608779011,54.2089935110595,72.0980913018146,1720.13996543959,445.607088894008,327.033747641027,455.187329096269,3.38467357975183,0.60558985921933,26.2438627659796,3.00909584896801e-07,1.19202048750846e-05,10.4445148818788,4.92371628022044
"WBGene00000111",72.5479584870387,101.641862833237,76.749581063222,232.714408904636,202.464631675908,244.833373233958,155.158636033,1.44071769073355,0.287111872983427,24.5954768665193,7.07175288599632e-07,2.55061759658893e-05,2.71455871785271,4.59335464846202
"WBGene00000149",1647.48148766769,2559.1162353346,2966.48759533756,6431.05826585132,4427.41151185353,4429.98146804548,3743.58942734836,1.09198542331753,0.318993155374201,11.4515077651829,0.000714360131374632,0.00686875146110451,2.13167193406928,2.16312219785033
"WBGene00000190",49.5897437759505,13.5522483777649,48.8406424947776,163.696447328356,219.105560306805,262.510873106446,126.215919231683,2.52244016497532,0.483181076363084,25.0743614720479,5.51614232733162e-07,2.02942438987062e-05,5.7455307314302,4.69262712452588
"WBGene00000191",11.9382716497659,21.4577265981277,10.4658519631666,51.3210483515928,79.5066590142835,104.297249247679,46.4978011374359,2.42721193272673,0.499566295558774,22.7428320728019,1.85193626395892e-06,5.75040134292057e-05,5.37853002771721,4.2403018431481
"WBGene00000251",221.31718981489,220.224036138679,287.229492766906,2539.50704774261,772.87868530164,398.627622124603,739.964012314888,2.34849791257312,0.584884408305721,14.6422288698802,0.000129969417733573,0.00186692592307903,5.09293714639401,2.72887291388609
"WBGene00000373",201.113960869133,173.920520847983,154.662034566796,845.912452140047,581.508006046329,819.352119089816,462.744848926684,2.0831317458601,0.276437123728727,53.2087118384315,2.99925682147904e-13,3.84067623519474e-11,4.23726026458877,10.4155923018415
"WBGene00000391",119.382716497659,64.3731797943832,62.7951117789998,176.969132246872,215.407576166605,242.181748253085,146.851577456267,1.35781945685436,0.365375180297281,13.4772631008672,0.000241471765750404,0.00299689864645449,2.56297508992962,2.52332794441834
"WBGene00000399",62.4463440141599,48.5622233536575,37.2119180912591,1318.42003523919,345.761517108628,346.478997500764,359.81350588461,3.7592425954927,0.556733423906662,37.4845557960945,9.21396940472096e-10,6.76469158207047e-08,13.5408143014337,7.16975199910454
"WBGene00000401",33.9781577724105,56.4677015740204,46.5148976140739,256.605241757964,99.8455717853793,86.6197493751909,96.6718866465065,1.69703816032171,0.504611516943487,10.8374404054747,0.000994681349731915,0.00875860405981957,3.24234624079762,2.05756510586692
"WBGene00000402",101.934473317232,72.2786580147461,67.4466015404072,1448.49234744065,408.627247492015,248.368873208455,391.191366835583,3.12174483165753,0.595643194008511,23.6046736187459,1.18299840221143e-06,3.90058894333944e-05,8.70439985682131,4.40886981463196
"WBGene00000544",87.2412159021352,49.6915773851379,65.1208566597035,260.144624402901,138.674405257471,173.239498750382,129.018696392955,1.49763840057973,0.385338005801139,14.6641062118265,0.000128469572485607,0.00185020825448103,2.82380095802191,2.7327793858231
"WBGene00000545",438.961065276007,518.373500449507,691.909102009349,1388.32284247671,1222.18375833585,1312.55436553223,928.717439013275,1.25108464729736,0.262967650809401,22.0035632049435,2.72144762260007e-06,8.01347473756339e-05,2.38020304225409,4.09617912784466
"WBGene00000546",168.054131685166,95.9950926758346,146.521927484333,470.737891776679,262.556873954145,335.872497577271,246.623069192238,1.37922558442413,0.356583774419463,14.5174839995026,0.000138864737919283,0.0019639611350074,2.60128700687878,2.70686711075418
"WBGene00000556",2.75498576533059,14.6816024092453,8.14010708246293,95.5633314133107,48.07379382259,53.9163746110882,37.1883658506713,2.97462484405335,0.625453999299188,21.3730344296156,3.7805114023099e-06,0.000106388871984254,7.86052048629537,3.97310379580578
"WBGene00000558",7.34662870754823,24.845788692569,13.9544692842222,1590.95249889938,490.907394611448,532.976621155511,443.497233558446,5.83669249336759,0.585986642158327,72.1850940682797,1.95930146693435e-17,4.87363327396719e-15,57.1504317888735,14.3121471532564
"WBGene00000562",22.0398861226447,24.845788692569,24.4203212473888,136.266231830091,136.825413187372,147.607123935274,82.0007941692233,2.56420311533248,0.332137059641932,59.0268457686258,1.55535422172986e-14,2.4238581498826e-12,5.91428233131396,11.6154927997392
"WBGene00000599",2595.19659094141,1887.15058660376,1668.7219519049,21599.0825907307,5805.83510011279,5622.32883444479,6529.71927578973,2.42467914184894,0.525646676524285,19.170396195267,1.19553171551028e-05,0.000275823860454111,5.3690957811012,3.55936816740116
"WBGene00000603",2282.04654228217,1006.25444204904,715.166550816386,20736.3580710272,6391.96558633437,5585.20608471256,6119.49954620362,3.03032538938995,0.582137138716675,23.2348554140712,1.43375049776702e-06,4.60780631762906e-05,8.16993946839155,4.33650578413188
"WBGene00000606",874.248816198239,747.63236884003,550.038664286424,5923.1568563028,1558.70031509398,1074.79199224727,1788.09483549479,1.97794577942352,0.578703370166249,10.8756428793659,0.000974372013724489,0.00862575096179788,3.93931771805369,2.0642030847338
"WBGene00000617",6.4283001191047,7.90547822036285,5.81436220175924,92.0239487683733,40.6778255421916,60.9873745600834,35.6395482353125,3.26691893927889,0.571336573557568,32.5635924957508,1.15355532466139e-08,6.70971141129628e-07,9.62588334319492,6.17329615869492
"WBGene00000618",78.0579300176999,73.4080120462265,101.169902310611,1294.52920238587,351.308493318927,162.632998826889,343.51775648437,2.84010438021993,0.63983751276366,17.2933798118224,3.2030081476989e-05,0.000610175400701802,7.16071863279887,3.21454530497748
