"","Category","RGS","AC","PValue"
"195","Unassigned: regulated by multiple stresses",471,1707,5.04232986146871e-97
"169","Transmembrane protein: unassigned",341,1692,2.4118514294284e-46
"7","Cytoskeleton: microtubule: tau tubulin kinase",67,74,7.10716262994407e-39
"121","Signaling: phosphatase: Y ",64,90,6.27866854450191e-33
"27","Major sperm protein",30,31,7.01482568493258e-19
"120","Signaling: phosphatase: unassigned",38,98,1.17654003068979e-13
"130","Signaling: Y kinase",32,73,7.05395544235405e-13
"132","Stress response: detoxification: CYP",23,82,8.93516795288629e-07
"192","Unassigned: membrane spanning domain",40,210,1.04779280268243e-06
"185","Transmembrane transport: solute carrier",35,197,1.72620382128352e-05
"196","Unassigned: TransThyretin-Related family domain",11,29,6.90627535130037e-05
"134","Stress response: detoxification: ugt",17,69,8.90454078082413e-05
"39","Metabolism: lipid: beta oxidation",18,78,0.000114820806320698
"178","Transmembrane transport: ion",6,8,0.000217564018964285
"170","Transmembrane transport: ABC",13,50,0.000372243489755843
"140","Stress response: pathogen: CUB",9,25,0.000427692198028869
"40","Metabolism: lipid: binding",15,67,0.000539948235452364
"131","Stress response: C-type Lectin",36,256,0.000785572533201723
"78","Proteolysis general: aspartate: cathepsin",8,22,0.000841068720975651
"175","Transmembrane transport: chloride channel",11,44,0.00134466421551173
"10","Cytoskeleton: paxillin",4,5,0.00228021597600648
"145","Stress response: pathogen: unassigned",17,96,0.00231741269218867
"45","Metabolism: lipid: o-acyl transferase",12,56,0.00255796700651742
"191","Unassigned: hydrolase",8,29,0.00357281626552356
"14","Development: germline",7,23,0.00402187108175422
"42","Metabolism: lipid: fatty acid",13,68,0.00409714327758133
"26","Lysosome: acid phosphatase",8,31,0.00502411950125028
"88","Proteolysis general: metallopeptidase",19,123,0.00509504743388891
"32","Metabolism: amino acid: synthesis",9,39,0.00561404839017865
"89","Proteolysis general: serine",8,34,0.0079944567275021
"58","Metabolism: short chain dehydrogenase",9,42,0.00842944212385321
"141","Stress response: pathogen: lysozyme",3,4,0.0097113377376005
"6","Cytoskeleton: microtubule: RMDN",3,5,0.0147333656778652
"79","Proteolysis general: aspartate: unassigned",4,11,0.0175902048303955
"46","Metabolism: lipid: phospholipid",10,58,0.0197448864135328
"81","Proteolysis general: cysteine: calpain",4,12,0.0221758872471563
"182","Transmembrane transport: mitochondrial: solute carrier",7,34,0.0226657329422835
"66","Neuronal function: synaptic function: neurotransmitter metabolism",5,19,0.0233587560837906
"59","Metabolism: unassigned",23,192,0.0292825591813634
"177","Transmembrane transport: heme",3,8,0.0370573290868228
"135","Stress response: detoxification: unassigned",2,3,0.0425484859184086
"90","Proteolysis general: unassigned",10,68,0.0456699152363065
"30","Metabolism: 1CC: transsulfuration",3,10,0.0578659952877136
"83","Proteolysis general: cysteine: unassigned",3,10,0.0578659952877136
"41","Metabolism: lipid: epoxide hydrolase",2,4,0.0608958756144679
"116","Signaling: lipid: phospholipase patatin",2,4,0.0608958756144679
"23","Extracellular material: PGI",8,53,0.062099666561726
"34","Metabolism: carbohydrate",11,83,0.0646914467631618
"84","Proteolysis general: inhibitor: peptidase inhibitor 16",3,11,0.0699262669678449
"113","Signaling: lipid: phospholipase A",4,19,0.0732484138915499
"122","Signaling: S/T kinase",9,66,0.0785724328613564
"128","Signaling: unassigned",9,70,0.100944386578205
"149","Trafficking: ER/Golgi: mannosidase",2,6,0.103581799127665
"119","Signaling: phosphatase: dual specificity",2,7,0.127188044441628
"44","Metabolism: lipid: lipase",4,27,0.169033410739647
"100","Pseudogene",170,2081,0.17140625588588
"179","Transmembrane transport: ion channel",2,9,0.177401021185198
"138","Stress response: oxidative",4,28,0.183192752994512
"82","Proteolysis general: cysteine: cathepsin",3,19,0.197057534379041
"106","Signaling: casein kinase",2,10,0.203502852985369
"186","Transmembrane transport: sugar",2,10,0.203502852985369
"12","Development: apoptosis",7,64,0.22842305739715
"87","Proteolysis general: lysozyme",2,11,0.22998228165767
"139","Stress response: pathogen: caenacin",2,11,0.22998228165767
"70","Non-coding RNA: small RNA: argonaute",3,21,0.234543553452031
"118","Signaling: MAPK",4,32,0.24315783242077
"94","Proteolysis proteasome: E3: HECT",1,3,0.252060936272597
"96","Proteolysis proteasome: E3: TRIM",1,3,0.252060936272597
"103","Signaling: AKT",1,3,0.252060936272597
"144","Stress response: pathogen: ShK",1,3,0.252060936272597
"8","Cytoskeleton: motor protein: dynein",3,22,0.253731732215067
"162","Transcription: chromatin structure: unassigned",2,12,0.256658284105974
"173","Transmembrane transport: aquaporin",2,12,0.256658284105974
"153","Transcription factor: bZIP",3,24,0.292666014767987
"48","Metabolism: lipid: sterol",6,59,0.303223974597341
"115","Signaling: lipid: phospholipase D",1,4,0.304439048861144
"146","Stress response: signaling",1,4,0.304439048861144
"31","Metabolism: amino acid: breakdown",4,36,0.306701228375644
"86","Proteolysis general: inhibitor: TIL domain",2,14,0.309991128729535
"143","Stress response: pathogen: saposin ",2,14,0.309991128729535
"18","Extracellular material: chitinase",4,37,0.322884722749467
"171","Transmembrane transport: amino acid",4,37,0.322884722749467
"4","Cytoskeleton: claudin",2,15,0.336394129551991
"43","Metabolism: lipid: glycerolipid ",3,27,0.35157096507785
"29","Metabolism: 1CC: methionine",1,5,0.353147683510479
"52","Metabolism: mitochondria: morphology",1,5,0.353147683510479
"74","Peroxisome: transporter",1,5,0.353147683510479
"137","Stress response: heavy metal",2,16,0.362481850241735
"180","Transmembrane transport: lipid",2,16,0.362481850241735
"76","Protein modification: lipidation",2,17,0.3881689218655
"75","Protein modification: carbohydrate",11,129,0.391739108941691
"35","Metabolism: creatine kinase",1,6,0.398444015634689
"105","Signaling: calcium: unassigned",1,6,0.398444015634689
"107","Signaling: FGF",1,6,0.398444015634689
"172","Transmembrane transport: anion",1,6,0.398444015634689
"22","Extracellular material: matrix",6,67,0.404468995517549
"33","Metabolism: amino acid: unassigned",1,7,0.440567189421407
"57","Metabolism: polyamine",1,7,0.440567189421407
"36","Metabolism: glutathione",2,20,0.46216656086668
"174","Transmembrane transport: calcium channel",2,20,0.46216656086668
"117","Signaling: lipid: unassigned",1,8,0.47973958254388
"151","Trafficking: vesicle targeting/fusion: unassigned",1,8,0.47973958254388
"187","Transmembrane transport: sulfate",1,8,0.47973958254388
"181","Transmembrane transport: major facilitator",7,89,0.512268596493438
"147","Stress response: unassigned",4,49,0.513633398364349
"77","Protein modification: methyltransferase",6,76,0.516600123713838
"37","Metabolism: glycolysis",3,37,0.537748471879915
"5","Cytoskeleton: innexin",2,24,0.55208355704508
"99","Proteolysis proteasome: unassigned",2,24,0.55208355704508
