"ID","T_EV_2","T_EV_3","T_EV_4","T_FB_2","T_FB_3","T_FB_4","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foldChange","log10padj"
"WBGene00000708",359.396396633768,618.865394185779,845.223337509682,163.424548094679,107.599400368699,267.920408901341,393.738247615658,-1.76121516648311,0.401673192950936,18.2074517614956,1.98102229462336e-05,0.00890345610798293,0.294999585712655,2.0504413779317
"WBGene00003539",683.815041770333,355.948723453258,406.959384726884,134.584921960324,102.795855709382,173.287970894904,309.565316419181,-1.8205138726758,0.342524336430467,26.7860088094134,2.27276900548571e-07,0.000208236146880391,0.283120108981242,3.68144388083844
"WBGene00008390",515.921834583755,324.600966558227,492.23734598265,108.949698729786,128.734996869693,47.9307153539097,269.72925967967,-2.21528602308643,0.380176585777862,31.5602433629645,1.93347765229519e-08,2.45283949551172e-05,0.215343842466137,4.6103308694431
"WBGene00009215",206.368733833502,333.70192823743,301.171534055174,108.148598003832,106.638691436835,126.586248242377,197.102622301525,-1.30238389391814,0.300458621256733,18.3294061621976,1.8581671781344e-05,0.00875568374336931,0.405455673710569,2.05770993360366
"WBGene00009237",1321.28456280687,1320.65066144874,1110.77243205295,530.328680581752,418.869094292434,412.941547664453,852.474496474533,-1.46079359484486,0.227474079822648,39.7903829383477,2.82733845883217e-10,5.18094065145114e-07,0.363293234729716,6.28559138260091
"WBGene00017691",4153.60799029294,5910.56900165993,6197.225007207,2001.95071415982,1778.27223287912,2564.90776778486,3767.75545233061,-1.35796496482728,0.256113809747923,27.1483285221034,1.88428041548607e-07,0.000182797368307037,0.390132214149737,3.73803006099802
"WBGene00017734",5895.50001485369,5589.00168899477,5313.14082659343,1977.91769238119,1760.01876317372,1841.03106667068,3729.43500877791,-1.59009577109635,0.188705219371604,67.8037495149936,1.80605714131134e-16,9.92849812483554e-13,0.332149403563816,12.00311644188
"WBGene00019368",146.032112500826,183.030451548408,92.8342363037454,20.0275181488577,22.0963054328578,46.7017226525274,85.1203910978704,-2.26912648691716,0.456064258653387,23.2312311383648,1.43645499823942e-06,0.00112809599195069,0.207455457140021,2.94765394379173
"WBGene00020674",529.912935182637,434.823724673014,476.045328022694,96.9331878404714,148.909884438824,137.647182554818,304.04537378541,-1.91383692372803,0.27431317168269,46.206308576033,1.06433724474694e-11,3.51060996807331e-08,0.265385798653568,7.45461741836228
"WBGene00021236",503.679621559734,1150.76604343695,627.17082898228,64.889158802299,77.8174234809339,298.645226435899,453.828050449683,-2.37593584780468,0.523116376100365,18.7164196311886,1.51670823322923e-05,0.00781673505700512,0.192651343509731,2.10697460791376
"WBGene00021743",1160.38690591973,647.179497187742,1031.97127798117,399.7492622512,402.537042450757,392.048671740953,672.312109588593,-1.24957877405537,0.275613631958433,20.0013075437272,7.73892275431922e-06,0.00456139363275067,0.420570984475425,2.34090244800572
